"[run number]","evaporation-rate","[step]","[steps] of one-of walkers"
"313","36","336","14"
"314","36","360","15"
"315","36","384","16"
"316","36","384","16"
"317","36","288","12"
"318","36","408","17"
"319","36","408","17"
"321","37","312","13"
"323","37","264","11"
"320","36","600","25"
"322","37","432","18"
"324","37","432","18"
"325","37","384","16"
"327","37","336","14"
"326","37","384","16"
"328","37","312","13"
"329","37","312","13"
"330","37","336","14"
"331","38","408","17"
"332","38","408","17"
"334","38","288","12"
"333","38","360","15"
"337","38","288","12"
"338","38","288","12"
"335","38","528","22"
"336","38","504","21"
"339","38","264","11"
"340","38","312","13"
"342","39","360","15"
"341","39","456","19"
"344","39","456","19"
"343","39","816","34"
"345","39","408","17"
"347","39","432","18"
"346","39","744","31"
"349","39","504","21"
"348","39","576","24"
"350","39","456","19"
"352","40","384","16"
"353","40","336","14"
"354","40","288","12"
"351","40","648","27"
"355","40","336","14"
"356","40","432","18"
"358","40","360","15"
"357","40","624","26"
"360","40","288","12"
"362","41","288","12"
"363","41","288","12"
"359","40","672","28"
"364","41","312","13"
"365","41","312","13"
"366","41","576","24"
"368","41","360","15"
"361","41","960","40"
"367","41","432","18"
"370","41","264","11"
"372","42","288","12"
"369","41","456","19"
"371","42","504","21"
"373","42","432","18"
"374","42","432","18"
"376","42","384","16"
"377","42","384","16"
"378","42","408","17"
"375","42","720","30"
"381","43","384","16"
"379","42","576","24"
"382","43","528","22"
"380","42","696","29"
"385","43","504","21"
"383","43","672","28"
"384","43","504","21"
"386","43","504","21"
"387","43","264","11"
"389","43","264","11"
"390","43","504","21"
"391","44","384","16"
"388","43","624","26"
"393","44","264","11"
"395","44","312","13"
"394","44","384","16"
"392","44","744","31"
"396","44","336","14"
"397","44","288","12"
"399","44","360","15"
"400","44","432","18"
"398","44","648","27"
"401","45","408","17"
"404","45","264","11"
"402","45","456","19"
"403","45","528","22"
"406","45","312","13"
"405","45","528","22"
"407","45","264","11"
"410","45","288","12"
"408","45","432","18"
"409","45","456","19"
"411","46","384","16"
"412","46","336","14"
"413","46","360","15"
"414","46","264","11"
"415","46","360","15"
"416","46","312","13"
"417","46","288","12"
"418","46","336","14"
"419","46","288","12"
"420","46","432","18"
"421","47","408","17"
"422","47","264","11"
"426","47","264","11"
"424","47","384","16"
"425","47","552","23"
"423","47","768","32"
"427","47","456","19"
"429","47","264","11"
"428","47","456","19"
"431","48","360","15"
"432","48","312","13"
"430","47","456","19"
"433","48","504","21"
"436","48","264","11"
"437","48","288","12"
"435","48","504","21"
"438","48","384","16"
"439","48","336","14"
"434","48","1008","42"
"442","49","264","11"
"441","49","288","12"
"440","48","720","30"
"444","49","360","15"
"443","49","480","20"
"445","49","432","18"
"446","49","480","20"
"447","49","384","16"
"448","49","528","22"
"449","49","456","19"
"450","49","432","18"
"451","50","432","18"
"453","50","288","12"
"454","50","360","15"
"456","50","288","12"
"452","50","720","30"
"457","50","336","14"
"455","50","600","25"
"458","50","312","13"
"461","51","336","14"
"459","50","432","18"
"460","50","384","16"
"464","51","384","16"
"462","51","432","18"
"463","51","480","20"
"465","51","504","21"
"466","51","360","15"
"468","51","264","11"
"469","51","264","11"
"471","52","312","13"
"470","51","432","18"
"467","51","648","27"
"472","52","408","17"
"473","52","288","12"
"474","52","288","12"
"476","52","288","12"
"475","52","312","13"
"477","52","336","14"
"479","52","288","12"
"478","52","384","16"
"481","53","408","17"
"480","52","552","23"
"482","53","360","15"
"483","53","504","21"
"486","53","360","15"
"485","53","336","14"
"484","53","432","18"
"487","53","336","14"
"489","53","264","11"
"488","53","312","13"
"491","54","312","13"
"493","54","408","17"
"490","53","720","30"
"494","54","312","13"
"492","54","528","22"
"495","54","384","16"
"497","54","288","12"
"496","54","504","21"
"498","54","360","15"
"499","54","312","13"
"500","54","384","16"
"501","55","528","22"
"502","55","432","18"
"503","55","504","21"
"504","55","384","16"
"505","55","264","11"
"506","55","288","12"
"508","55","360","15"
"507","55","432","18"
"509","55","432","18"
"510","55","360","15"
"512","56","432","18"
"513","56","312","13"
"511","56","552","23"
"515","56","288","12"
"514","56","504","21"
"516","56","408","17"
"517","56","312","13"
"518","56","312","13"
"520","56","360","15"
"521","57","360","15"
"519","56","600","25"
"523","57","312","13"
"522","57","504","21"
"524","57","384","16"
"525","57","264","11"
"526","57","312","13"
"528","57","312","13"
"530","57","312","13"
"529","57","432","18"
"531","58","288","12"
"527","57","864","36"
"532","58","384","16"
"533","58","288","12"
"534","58","312","13"
"535","58","312","13"
"536","58","336","14"
"537","58","336","14"
"539","58","384","16"
"542","59","288","12"
"540","58","528","22"
"541","59","384","16"
"538","58","936","39"
"543","59","360","15"
"544","59","552","23"
"545","59","624","26"
"546","59","456","19"
"547","59","648","27"
"550","59","288","12"
"548","59","576","24"
"551","60","408","17"
"549","59","624","26"
"552","60","432","18"
"554","60","360","15"
"555","60","336","14"
"556","60","360","15"
"557","60","336","14"
"553","60","1080","45"
"558","60","360","15"
"559","60","528","22"
"560","60","432","18"
"561","61","360","15"
"563","61","312","13"
"564","61","288","12"
"565","61","288","12"
"567","61","312","13"
"566","61","336","14"
"568","61","360","15"
"562","61","1008","42"
"570","61","288","12"
"571","62","264","11"
"569","61","360","15"
"575","62","288","12"
"573","62","408","17"
"574","62","480","20"
"572","62","576","24"
"576","62","384","16"
"578","62","360","15"
"577","62","600","25"
"579","62","408","17"
"580","62","576","24"
"581","63","408","17"
"583","63","312","13"
"582","63","360","15"
"585","63","288","12"
"584","63","336","14"
"586","63","288","12"
"588","63","288","12"
"587","63","624","26"
"590","63","336","14"
"591","64","288","12"
"589","63","576","24"
"592","64","288","12"
"594","64","264","11"
"593","64","336","14"
"595","64","360","15"
"598","64","264","11"
"596","64","432","18"
"600","64","288","12"
"601","65","384","16"
"599","64","768","32"
"603","65","288","12"
"597","64","1008","42"
"602","65","384","16"
"604","65","264","11"
"606","65","288","12"
"605","65","360","15"
"607","65","288","12"
"608","65","360","15"
"611","66","360","15"
"610","65","696","29"
"612","66","720","30"
"613","66","336","14"
"609","65","888","37"
"615","66","312","13"
"614","66","408","17"
"619","66","336","14"
"620","66","264","11"
"618","66","768","32"
"617","66","1248","52"
"622","67","288","12"
"616","66","1176","49"
"621","67","408","17"
"625","67","288","12"
"626","67","360","15"
"624","67","480","20"
"627","67","312","13"
"629","67","288","12"
"628","67","456","19"
"623","67","1008","42"
"630","67","408","17"
"632","68","336","14"
"634","68","312","13"
"631","68","720","30"
"633","68","480","20"
"635","68","408","17"
"636","68","264","11"
"637","68","288","12"
"638","68","600","25"
"640","68","432","18"
"642","69","288","12"
"639","68","768","32"
"641","69","888","37"
"644","69","336","14"
"645","69","432","18"
"643","69","552","23"
"646","69","312","13"
"647","69","432","18"
"649","69","312","13"
"648","69","432","18"
"652","70","264","11"
"650","69","528","22"
"651","70","432","18"
"653","70","384","16"
"654","70","288","12"
"656","70","336","14"
"657","70","384","16"
"658","70","288","12"
"659","70","336","14"
"655","70","816","34"
"661","71","336","14"
"662","71","288","12"
"663","71","264","11"
"660","70","600","25"
"666","71","288","12"
"664","71","432","18"
"665","71","576","24"
"667","71","432","18"
"668","71","432","18"
"669","71","288","12"
"670","71","360","15"
"671","72","528","22"
"672","72","384","16"
"673","72","408","17"
"674","72","264","11"
"678","72","288","12"
"676","72","408","17"
"677","72","288","12"
"675","72","552","23"
"681","73","264","11"
"679","72","432","18"
"680","72","504","21"
"682","73","408","17"
"684","73","360","15"
"683","73","528","22"
"685","73","456","19"
"686","73","408","17"
"688","73","360","15"
"689","73","600","25"
"687","73","816","34"
"690","73","792","33"
"692","74","288","12"
"695","74","264","11"
"693","74","528","22"
"691","74","648","27"
"694","74","576","24"
"696","74","336","14"
"699","74","264","11"
"700","74","408","17"
"697","74","456","19"
"698","74","504","21"
"701","75","312","13"
"703","75","264","11"
"702","75","288","12"
"704","75","264","11"
"706","75","264","11"
"705","75","384","16"
"707","75","360","15"
"709","75","264","11"
"708","75","384","16"
"711","76","432","18"
"712","76","312","13"
"713","76","288","12"
"710","75","552","23"
"715","76","264","11"
"714","76","288","12"
"719","76","360","15"
"718","76","456","19"
"716","76","600","25"
"717","76","696","29"
"720","76","336","14"
"721","77","288","12"
"723","77","312","13"
"722","77","408","17"
"725","77","264","11"
"724","77","336","14"
"726","77","312","13"
"730","77","288","12"
"728","77","480","20"
"729","77","480","20"
"727","77","768","32"
"733","78","360","15"
"732","78","480","20"
"731","78","600","25"
"735","78","312","13"
"736","78","384","16"
"734","78","432","18"
"739","78","336","14"
"740","78","312","13"
"737","78","600","25"
"738","78","528","22"
"744","79","312","13"
