1 155
2 151
3 82
4 107
5 26
6 18
7 34
8 33
9 24
10 26
11 12
12 17
13 18
14 17
15 14
16 17
17 16
18 17
19 12
20 13
21 13
22 15
23 13
24 22
25 20
26 16
27 18
28 13
29 21
30 30
31 25
32 16
33 13
34 18
35 16
36 36
37 11
38 57
39 16
40 29
41 19
42 31
43 13
44 15
45 39
46 11
47 19
48 44
49 11
50 72
51 17
52 20
53 26
54 13
55 53
56 31
57 105
58 77
59 35
60 38
61 23
62 34
63 30
64 29
65 70
66 30
67 28
68 34
69 39
70 13
71 33
72 16
73 36
74 17
75 62
76 30
77 24
78 30
79 34
80 14
81 30
82 32
83 48
84 36
85 73
86 40
87 21
88 14
89 13
90 15
91 21
92 54
93 36
94 28
95 39
